,,,,price,CO2_emissions,is_electric
ALFA-ROMEO,Giulietta,2021,1.4 TB MultiAir 150 Start&Stop Giulietta,,127,False
ALFA-ROMEO,Giulietta,2021,1.4 TB MultiAir 150 Start&Stop Super,,127,False
ALFA-ROMEO,Giulietta,2021,1.4 TB MultiAir 150 Start&Stop Lusso,,127,False
ALFA-ROMEO,Giulietta,2021,1.4 TB MultiAir 170 Start&Stop Super TCT,,114,False
ALFA-ROMEO,Giulietta,2021,1.4 TB MultiAir 170 Start&Stop Losso TCT,,114,False
ALFA-ROMEO,Giulietta,2021,1750 TBi 240 Veloce TCT,,157,False
ALFA-ROMEO,Giulietta,2021,1750 TBi 240 Veloce S TCT,,157,False
ALFA-ROMEO,Giulietta,2021,1.4 TB MultiAir 150 Start&Stop Imola,,127,False
ALFA-ROMEO,Giulietta,2021,1.4 TB MultiAir 170 Start&Stop Imola TCT,,114,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Giulietta,,141,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Super,,118,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Losso,,99,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Giulietta TCT,,141,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Super TCT,,117,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Losso TCT,,99,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 150 Start&Stop Giulietta,,110,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 150 Start&Stop Super,,110,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 150 Start&Stop Losso,,110,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 175 Start&Stop Super TCT,,113,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 175 Start&Stop Losso TCT,,113,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 150 Start&Stop Imola,,110,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 175 Start&Stop Imola TCT,,113,False
ALFA-ROMEO,Giulietta,2021,1.4 T-Jet 120 Start&Stop Sport Edition,,157,False
ALFA-ROMEO,Giulietta,2021,1.4 T-Jet 120 Start&Stop Executive,,157,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Business,,118,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Sport Edition,,118,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Executive,,118,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Business TCT,,117,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Sport Edition TCT,,117,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Executive TCT,,117,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 170 Start&Stop Sport Edition TCT,,122,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 170 Start&Stop Executive TCT,,122,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 170 Start&Stop Veloce TCT,,145,False
ALFA-ROMEO,Giulietta,2021,1.4 T-Jet 120 Start&Stop Sprint,,167,False
ALFA-ROMEO,Giulietta,2021,1.4 T-Jet 120 Start&Stop Ti,,172,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Sprint,,143,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Ti,,147,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Sprint TCT,,144,False
ALFA-ROMEO,Giulietta,2021,1.6 JTDm 120 Start&Stop Ti TCT,,147,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 170 Start&Stop Sprint TCT,,145,False
ALFA-ROMEO,Giulietta,2021,2.0 JTDm 170 Start&Stop Ti TCT,,148,False
ALFA-ROMEO,Giulietta,2020,1.4 TB MultiAir 150 Start&Stop Sportiva,,127,False
ALFA-ROMEO,Giulietta,2020,1.4 T-Jet 120 Start&Stop Giulietta,,166,False
ALFA-ROMEO,Giulietta,2020,1.4 T-Jet 120 Start&Stop Super,,157,False
ALFA-ROMEO,Giulietta,2020,1.4 TB MultiAir 150 Start&Stop Giulietta,,127,False
ALFA-ROMEO,Giulietta,2020,1.4 TB MultiAir 150 Start&Stop Super,,127,False
ALFA-ROMEO,Giulietta,2020,1.4 TB MultiAir 150 Start&Stop Lusso,,127,False
ALFA-ROMEO,Giulietta,2020,1.4 TB MultiAir 170 Start&Stop Super TCT,,114,False
ALFA-ROMEO,Giulietta,2020,1.4 TB MultiAir 170 Start&Stop Losso TCT,,114,False
ALFA-ROMEO,Giulietta,2020,1750 TBi 240 Veloce TCT,,157,False
ALFA-ROMEO,Giulietta,2020,1750 TBi 240 Veloce S TCT,,157,False
ALFA-ROMEO,Giulietta,2020,1.4 TB MultiAir 150 Start&Stop Imola,,127,False
ALFA-ROMEO,Giulietta,2020,1.4 TB MultiAir 170 Start&Stop Imola TCT,,114,False
ALFA-ROMEO,Giulietta,2020,1.6 JTDm 120 Start&Stop Giulietta,,141,False
ALFA-ROMEO,Giulietta,2020,1.6 JTDm 120 Start&Stop Super,,118,False
ALFA-ROMEO,Giulietta,2020,1.6 JTDm 120 Start&Stop Losso,,99,False
ALFA-ROMEO,Giulietta,2020,1.6 JTDm 120 Start&Stop Giulietta TCT,,141,False
ALFA-ROMEO,Giulietta,2020,1.6 JTDm 120 Start&Stop Super TCT,,117,False
