,,,price,CO2_emissions,url,is_electric,autonomous_range
AUDI,A1-Sportback,25 TFSI 95 S tronic 7 Advanced,26900,133,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,30 TFSI 110 Advanced,25910,123,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,30 TFSI 110 S tronic 7 Advanced,27810,132,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,35 TFSI 150 S tronic 7 Advanced,29670,139,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,25 TFSI 95 Advanced 2,25000,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,25 TFSI 95 S tronic 7 Advanced 2,26900,133,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,30 TFSI 110 Advanced 2,25910,123,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,30 TFSI 110 S tronic 7 Advanced 2,27810,132,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,35 TFSI 150 S tronic 7 Advanced 2,29670,139,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A3-Berline,30 TFSI 110 A3,29180,123,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TFSI 110 Design,32330,123,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TFSI 110 S line,36980,123,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TFSI 110 Design Luxe,37880,123,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TFSI 110 S tronic 7 A3,31330,113,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TFSI 110 S tronic 7 Design,34480,113,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TFSI 110 S tronic 7 S line,39130,113,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TFSI 110 S tronic 7 Design Luxe,40030,113,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TFSI 150 A3,30190,129,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TFSI 150 Design,33340,129,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TFSI 150 S line,37990,129,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TFSI 150 Design Luxe,38890,129,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TFSI 150 S tronic 7 A3,32340,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TFSI 150 S tronic 7 Design,35490,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TFSI 150 S tronic 7 S line,40140,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TFSI 150 S tronic 7 Design Luxe,41040,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,S3 TFSI 310 S tronic 7 Quattro,57290,178,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TDI 116 S tronic 7 A3,32340,118,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TDI 116 S tronic 7 Design,35490,118,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TDI 116 S tronic 7 S line,40140,118,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,30 TDI 116 S tronic 7 Design Luxe,41040,118,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TDI 150 S tronic 7 A3,35120,116,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TDI 150 S tronic 7 Design,38270,116,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TDI 150 S tronic 7 S line,42920,116,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,35 TDI 150 S tronic 7 Design Luxe,43820,116,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,40 TDI 200 S tronic 7 Quattro S line,46530,145,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Berline,40 TDI 200 S tronic 7 Quattro Design Luxe,47430,145,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Berline,False,
AUDI,A3-Sportback,30 TFSI 110 A3,28630,124,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,30 TFSI 110 Design,31780,124,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,30 TFSI 110 S line,36430,124,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,30 TFSI 110 Design Luxe,37330,124,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,30 TFSI 110 S tronic 7 A3,30780,116,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,30 TFSI 110 S tronic 7 Design,33930,116,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,30 TFSI 110 S tronic 7 S line,38580,116,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,30 TFSI 110 S tronic 7 Design Luxe,39480,116,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,35 TFSI 150 A3,29640,132,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,35 TFSI 150 Design,32790,132,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,35 TFSI 150 S line,37440,132,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,35 TFSI 150 Design Luxe,38340,132,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,35 TFSI 150 S tronic 7 A3,31790,129,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,35 TFSI 150 S tronic 7 Design,34940,129,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,35 TFSI 150 S tronic 7 S line,39590,129,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,35 TFSI 150 S tronic 7 Design Luxe,40490,129,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,S3 TFSI 310 S tronic 7 Quattro,56740,183,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,40 TFSIe 204 S tronic 7 A3,38680,24,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,40 TFSIe 204 S tronic 7 Design,41830,24,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,40 TFSIe 204 S tronic 7 S line,46480,24,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,40 TFSIe 204 S tronic 7 Design Luxe,47380,24,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,45 TFSIe 245 S tronic 7 Compétition,45110,31,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,30 TDI 116 A3,29640,115,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
AUDI,A3-Sportback,30 TDI 116 Design,32790,115,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A3-Sportback,False,
